Time,Hour,consumption,con_states
2015-05-21 16:00:00+00:00,16,4.0,4.0
2015-05-21 17:00:00+00:00,17,2.792,2.75
2015-05-21 18:00:00+00:00,18,4.72,4.75
2015-05-21 19:00:00+00:00,19,5.472,5.5
2015-05-21 20:00:00+00:00,20,4.064,4.0
2015-05-21 21:00:00+00:00,21,6.712,6.75
2015-05-21 22:00:00+00:00,22,2.16,2.25
2015-05-21 23:00:00+00:00,23,0.16,0.25
2015-05-22 00:00:00+00:00,0,0.072,0.25
2015-05-22 01:00:00+00:00,1,0.096,0.25
2015-05-22 02:00:00+00:00,2,0.16,0.25
2015-05-22 03:00:00+00:00,3,2.776,2.75
2015-05-22 04:00:00+00:00,4,13.152,13.25
2015-05-22 05:00:00+00:00,5,16.632,16.75
2015-05-22 06:00:00+00:00,6,2.72,2.75
2015-05-22 07:00:00+00:00,7,0.072,0.25
2015-05-22 08:00:00+00:00,8,4.72,4.75
2015-05-22 09:00:00+00:00,9,2.24,2.25
2015-05-22 10:00:00+00:00,10,0.072,0.25
2015-05-22 11:00:00+00:00,11,0.176,0.25
2015-05-22 12:00:00+00:00,12,2.72,2.75
2015-05-22 13:00:00+00:00,13,0.072,0.25
2015-05-22 14:00:00+00:00,14,0.08,0.25
2015-05-22 15:00:00+00:00,15,0.16,0.25
2015-05-22 16:00:00+00:00,16,3.048,3.0
2015-05-22 17:00:00+00:00,17,5.456,5.5
2015-05-22 18:00:00+00:00,18,2.344,2.25
2015-05-22 19:00:00+00:00,19,7.768,7.75
2015-05-22 20:00:00+00:00,20,2.808,2.75
2015-05-22 21:00:00+00:00,21,5.776,5.75
2015-05-22 22:00:00+00:00,22,3.36,3.25
2015-05-22 23:00:00+00:00,23,0.088,0.25
2015-05-23 00:00:00+00:00,0,0.08,0.25
2015-05-23 01:00:00+00:00,1,0.152,0.25
2015-05-23 02:00:00+00:00,2,0.096,0.25
2015-05-23 03:00:00+00:00,3,0.56,0.5
2015-05-23 04:00:00+00:00,4,9.992,10.0
2015-05-23 05:00:00+00:00,5,6.568,6.5
2015-05-23 06:00:00+00:00,6,0.168,0.25
2015-05-23 07:00:00+00:00,7,3.44,3.5
2015-05-23 08:00:00+00:00,8,0.072,0.25
2015-05-23 09:00:00+00:00,9,4.824,4.75
2015-05-23 10:00:00+00:00,10,1.784,1.75
2015-05-23 11:00:00+00:00,11,2.776,2.75
2015-05-23 12:00:00+00:00,12,0.728,0.75
2015-05-23 13:00:00+00:00,13,0.12,0.25
2015-05-23 14:00:00+00:00,14,1.928,2.0
2015-05-23 15:00:00+00:00,15,3.208,3.25
2015-05-23 16:00:00+00:00,16,2.792,2.75
2015-05-23 17:00:00+00:00,17,3.28,3.25
2015-05-23 18:00:00+00:00,18,5.288,5.25
2015-05-23 19:00:00+00:00,19,3.432,3.5
2015-05-23 20:00:00+00:00,20,2.0,2.0
2015-05-23 21:00:00+00:00,21,2.096,2.0
2015-05-23 22:00:00+00:00,22,2.008,2.0
2015-05-23 23:00:00+00:00,23,0.08,0.25
2015-05-24 00:00:00+00:00,0,0.08,0.25
2015-05-24 01:00:00+00:00,1,0.152,0.25
2015-05-24 02:00:00+00:00,2,0.08,0.25
2015-05-24 03:00:00+00:00,3,0.8,0.75
2015-05-24 04:00:00+00:00,4,11.76,11.75
2015-05-24 05:00:00+00:00,5,3.928,4.0
2015-05-24 06:00:00+00:00,6,10.0,10.0
2015-05-24 07:00:00+00:00,7,0.08,0.25
2015-05-24 08:00:00+00:00,8,0.16,0.25
2015-05-24 09:00:00+00:00,9,0.072,0.25
2015-05-24 10:00:00+00:00,10,5.28,5.25
2015-05-24 11:00:00+00:00,11,0.1999999999999992,0.25
2015-05-24 12:00:00+00:00,12,0.0799999999999992,0.25
2015-05-24 13:00:00+00:00,13,0.08,0.25
2015-05-24 14:00:00+00:00,14,0.16,0.25
2015-05-24 15:00:00+00:00,15,0.08,0.25
2015-05-24 16:00:00+00:00,16,0.072,0.25
2015-05-24 17:00:00+00:00,17,1.936,2.0
2015-05-24 18:00:00+00:00,18,2.0,2.0
2015-05-24 19:00:00+00:00,19,1.92,2.0
2015-05-24 20:00:00+00:00,20,2.408,2.5
2015-05-24 21:00:00+00:00,21,2.0,2.0
2015-05-24 22:00:00+00:00,22,2.0,2.0
2015-05-24 23:00:00+00:00,23,0.072,0.25
2015-05-25 00:00:00+00:00,0,0.08,0.25
2015-05-25 01:00:00+00:00,1,0.16,0.25
2015-05-25 02:00:00+00:00,2,0.072,0.25
2015-05-25 03:00:00+00:00,3,0.36,0.25
2015-05-25 04:00:00+00:00,4,8.048,8.0
2015-05-25 05:00:00+00:00,5,2.08,2.0
2015-05-25 06:00:00+00:00,6,3.44,3.5
2015-05-25 07:00:00+00:00,7,0.152,0.25
2015-05-25 08:00:00+00:00,8,0.096,0.25
2015-05-25 09:00:00+00:00,9,0.08,0.25
2015-05-25 10:00:00+00:00,10,0.16,0.25
2015-05-25 11:00:00+00:00,11,1.432,1.5
2015-05-25 12:00:00+00:00,12,6.008,6.0
2015-05-25 13:00:00+00:00,13,0.184,0.25
2015-05-25 14:00:00+00:00,14,1.128,1.25
2015-05-25 15:00:00+00:00,15,1.12,1.0
2015-05-25 16:00:00+00:00,16,0.16,0.25
2015-05-25 17:00:00+00:00,17,1.264,1.25
2015-05-25 18:00:00+00:00,18,0.096,0.25
2015-05-25 19:00:00+00:00,19,4.056,4.0
2015-05-25 20:00:00+00:00,20,0.096,0.25
2015-05-25 21:00:00+00:00,21,2.648,2.75
2015-05-25 22:00:00+00:00,22,2.4,2.5
2015-05-25 23:00:00+00:00,23,0.08,0.25
2015-05-26 00:00:00+00:00,0,0.16,0.25
2015-05-26 01:00:00+00:00,1,0.072,0.25
2015-05-26 02:00:00+00:00,2,0.08,0.25
2015-05-26 03:00:00+00:00,3,0.528,0.5
2015-05-26 04:00:00+00:00,4,5.648,5.75
2015-05-26 05:00:00+00:00,5,4.88,5.0
2015-05-26 06:00:00+00:00,6,6.847999999999999,6.75
2015-05-26 07:00:00+00:00,7,0.408,0.5
2015-05-26 08:00:00+00:00,8,5.224,5.25
2015-05-26 09:00:00+00:00,9,1.68,1.75
2015-05-26 10:00:00+00:00,10,0.1119999999999992,0.25
2015-05-26 11:00:00+00:00,11,0.1679999999999992,0.25
2015-05-26 12:00:00+00:00,12,1.296,1.25
2015-05-26 13:00:00+00:00,13,0.096,0.25
2015-05-26 14:00:00+00:00,14,1.056,1.0
2015-05-26 15:00:00+00:00,15,0.096,0.25
2015-05-26 16:00:00+00:00,16,1.44,1.5
2015-05-26 17:00:00+00:00,17,1.456,1.5
2015-05-26 18:00:00+00:00,18,5.144,5.25
2015-05-26 19:00:00+00:00,19,9.335999999999999,9.25
2015-05-26 20:00:00+00:00,20,4.08,4.0
2015-05-26 21:00:00+00:00,21,6.72,6.75
2015-05-26 22:00:00+00:00,22,2.152,2.25
2015-05-26 23:00:00+00:00,23,0.16,0.25
2015-05-27 00:00:00+00:00,0,0.08,0.25
2015-05-27 01:00:00+00:00,1,0.088,0.25
2015-05-27 02:00:00+00:00,2,0.16,0.25
2015-05-27 03:00:00+00:00,3,2.784,2.75
2015-05-27 04:00:00+00:00,4,13.16,13.25
2015-05-27 05:00:00+00:00,5,16.624,16.5
2015-05-27 06:00:00+00:00,6,2.72,2.75
2015-05-27 07:00:00+00:00,7,0.088,0.25
2015-05-27 08:00:00+00:00,8,4.728,4.75
2015-05-27 09:00:00+00:00,9,2.248,2.25
2015-05-27 10:00:00+00:00,10,0.6639999999999991,0.75
2015-05-27 11:00:00+00:00,11,2.784,2.75
2015-05-27 12:00:00+00:00,12,0.744,0.75
2015-05-27 13:00:00+00:00,13,2.416,2.5
2015-05-27 14:00:00+00:00,14,0.096,0.25
2015-05-27 15:00:00+00:00,15,0.104,0.25
2015-05-27 16:00:00+00:00,16,3.672,3.75
2015-05-27 17:00:00+00:00,17,3.128,3.25
2015-05-27 18:00:00+00:00,18,6.0,6.0
2015-05-27 19:00:00+00:00,19,4.56,4.5
2015-05-27 20:00:00+00:00,20,6.632,6.75
2015-05-27 21:00:00+00:00,21,4.4,4.5
2015-05-27 22:00:00+00:00,22,4.968,5.0
2015-05-27 23:00:00+00:00,23,0.08,0.25
2015-05-28 00:00:00+00:00,0,0.16,0.25
2015-05-28 01:00:00+00:00,1,0.072,0.25
2015-05-28 02:00:00+00:00,2,0.16,0.25
2015-05-28 03:00:00+00:00,3,3.688,3.75
2015-05-28 04:00:00+00:00,4,13.2,13.25
2015-05-28 05:00:00+00:00,5,7.672,7.75
2015-05-28 06:00:00+00:00,6,0.16,0.25
2015-05-28 07:00:00+00:00,7,0.12,0.25
2015-05-28 08:00:00+00:00,8,1.72,1.75
2015-05-28 09:00:00+00:00,9,0.176,0.25
2015-05-28 10:00:00+00:00,10,5.272,5.25
