utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_heat_pump,DE_KN_residential1_washing_machine,total_consumption,consumption_states
2015-05-21T16:00:00Z,0.0,0.0,0.5,0.0,0.5,0.49968
2015-05-21T17:00:00Z,0.0,0.0,0.349,0.0,0.349,0.34875
2015-05-21T18:00:00Z,0.0,0.0,0.59,0.0,0.59,0.5890416666666667
2015-05-21T19:00:00Z,0.0,0.0,0.684,0.0,0.684,0.6847692307692308
2015-05-21T20:00:00Z,0.0,0.0,0.508,0.0,0.508,0.508
2015-05-21T21:00:00Z,0.0,0.0,0.839,0.0,0.839,0.8378571428571429
2015-05-21T22:00:00Z,0.0,0.0,0.27,0.0,0.27,0.2690000000000001
2015-05-21T23:00:00Z,0.0,0.0,0.02,0.0,0.02,0.020000000000001128
2015-05-22T00:00:00Z,0.0,0.0,0.009,0.0,0.009,0.008974789915965897
2015-05-22T01:00:00Z,0.0,0.0,0.012,0.0,0.012,0.011999999999999678
2015-05-22T02:00:00Z,0.0,0.0,0.02,0.0,0.02,0.020000000000001128
2015-05-22T03:00:00Z,0.0,0.0,0.347,0.0,0.347,0.3463529411764706
2015-05-22T04:00:00Z,0.0,0.0,1.644,0.0,1.644,1.644375
2015-05-22T05:00:00Z,0.0,0.0,2.079,0.0,2.079,2.0795
2015-05-22T06:00:00Z,0.0,0.0,0.34,0.0,0.34,0.33951851851851855
2015-05-22T07:00:00Z,0.0,0.0,0.009,0.0,0.009,0.008974789915965897
2015-05-22T08:00:00Z,0.0,0.0,0.59,0.0,0.59,0.5890416666666667
2015-05-22T09:00:00Z,0.0,0.0,0.28,0.0,0.28,0.2804814814814815
2015-05-22T10:00:00Z,0.0,0.0,0.009,0.0,0.009,0.008974789915965897
2015-05-22T11:00:00Z,0.0,0.0,0.022,0.0,0.022,0.02199999999999991
2015-05-22T12:00:00Z,0.0,0.0,0.34,0.0,0.34,0.33951851851851855
2015-05-22T13:00:00Z,0.0,0.0,0.009,0.0,0.009,0.008974789915965897
2015-05-22T14:00:00Z,0.0,0.0,0.01,0.0,0.01,0.009999999999997344
2015-05-22T15:00:00Z,0.0,0.0,0.02,0.0,0.02,0.020000000000001128
2015-05-22T16:00:00Z,0.0,0.0,0.381,0.0,0.381,0.381
2015-05-22T17:00:00Z,0.0,0.0,0.682,0.0,0.682,0.6818461538461539
2015-05-22T18:00:00Z,0.0,0.0,0.293,0.0,0.293,0.29203125
