utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-21T15:00:00Z,,,0.107,0.01,0.135,
2015-05-21T16:00:00Z,,,0.482,0.51,0.889,
2015-05-21T17:00:00Z,,,1.045,0.859,1.354,
2015-05-21T18:00:00Z,,,1.572,1.449,1.41,
2015-05-21T19:00:00Z,,,2.152,2.133,1.41,
2015-05-21T20:00:00Z,,,2.662,2.641,1.41,
2015-05-21T21:00:00Z,,,3.104,3.48,1.41,
2015-05-21T22:00:00Z,,,3.417,3.75,1.41,
2015-05-21T23:00:00Z,,,3.737,3.77,1.41,
2015-05-22T00:00:00Z,,,4.037,3.779,1.41,
2015-05-22T01:00:00Z,,,4.347,3.791,1.41,
2015-05-22T02:00:00Z,,,4.657,3.811,1.41,
2015-05-22T03:00:00Z,,,4.997,4.158,1.41,
2015-05-22T04:00:00Z,,,5.402,5.802,1.478,
2015-05-22T05:00:00Z,,,5.977,7.881,1.917,
2015-05-22T06:00:00Z,,,6.324,8.221,4.654,
2015-05-22T07:00:00Z,,,8.559,8.23,7.481,
2015-05-22T08:00:00Z,,,10.457,8.82,13.807,
2015-05-22T09:00:00Z,,,12.242,9.1,17.414,
2015-05-22T10:00:00Z,,,13.205,9.109,20.758,
2015-05-22T11:00:00Z,,,13.635,9.131,26.586,
2015-05-22T12:00:00Z,,,14.125,9.471,28.271,0.0
2015-05-22T13:00:00Z,0.0,,14.475,9.48,31.781,0.0
2015-05-22T14:00:00Z,0.0,,14.875,9.49,35.946,0.0
2015-05-22T15:00:00Z,0.0,,15.207,9.51,38.658,0.0
2015-05-22T16:00:00Z,0.0,,15.602,9.891,39.708,0.0
2015-05-22T17:00:00Z,0.0,,16.045,10.573,40.124,0.0
2015-05-22T18:00:00Z,0.0,,16.645,10.866,40.289,0.0
2015-05-22T19:00:00Z,0.0,,17.362,11.837,40.289,0.0
2015-05-22T20:00:00Z,0.0,,17.942,12.188,40.289,0.0
2015-05-22T21:00:00Z,0.0,,18.385,12.91,40.289,0.0
2015-05-22T22:00:00Z,0.0,,18.715,13.33,40.289,0.0
2015-05-22T23:00:00Z,0.0,,19.045,13.34,40.289,0.001
2015-05-23T00:00:00Z,0.0,,19.377,13.35,40.289,0.001
2015-05-23T01:00:00Z,0.0,,19.694,13.369,40.289,0.001
2015-05-23T02:00:00Z,0.0,,20.017,13.381,40.289,0.001
2015-05-23T03:00:00Z,0.0,,20.352,13.451,40.289,0.001
2015-05-23T04:00:00Z,0.001,,20.745,14.699,40.506,0.001
2015-05-23T05:00:00Z,0.001,,21.125,15.52,41.249,0.001
2015-05-23T06:00:00Z,0.001,,21.524,15.541,42.771,0.001
2015-05-23T07:00:00Z,0.001,,21.885,15.971,44.768,0.001
2015-05-23T08:00:00Z,0.001,,22.282,15.98,47.446,0.001
2015-05-23T09:00:00Z,0.001,,24.687,15.99,51.368,0.594
2015-05-23T10:00:00Z,0.001,,25.805,16.0,55.533,0.807
2015-05-23T11:00:00Z,0.001,,26.53,16.02,58.406,1.134
2015-05-23T12:00:00Z,0.001,,27.604,16.029,62.478,1.216
2015-05-23T13:00:00Z,0.001,,29.297,16.041,65.839,1.219
2015-05-23T14:00:00Z,0.001,,29.725,16.279,68.639,1.222
2015-05-23T15:00:00Z,0.001,,30.185,16.68,70.005,1.222
2015-05-23T16:00:00Z,0.001,,30.547,17.029,71.113,1.222
2015-05-23T17:00:00Z,0.001,,31.012,17.439,71.602,1.222
2015-05-23T18:00:00Z,0.001,,31.652,18.1,71.648,1.222
2015-05-23T19:00:00Z,0.001,,32.175,18.529,71.648,1.222
2015-05-23T20:00:00Z,0.001,,32.675,18.779,71.648,1.222
2015-05-23T21:00:00Z,0.001,,33.172,19.041,71.648,1.222
2015-05-23T22:00:00Z,0.001,,33.555,19.291,71.648,1.223
2015-05-23T23:00:00Z,0.001,,33.887,19.301,71.648,1.223
2015-05-24T00:00:00Z,0.001,,34.215,19.311,71.648,1.223
2015-05-24T01:00:00Z,0.001,,34.545,19.33,71.648,1.223
2015-05-24T02:00:00Z,0.001,,34.857,19.34,71.648,1.223
2015-05-24T03:00:00Z,0.001,,35.194,19.44,71.648,1.223
2015-05-24T04:00:00Z,0.001,,35.604,20.91,71.776,1.223
2015-05-24T05:00:00Z,0.002,,35.957,21.4,72.553,1.223
2015-05-24T06:00:00Z,0.002,,36.447,22.65,74.538,1.223
2015-05-24T07:00:00Z,0.002,,37.227,22.66,77.229,1.223
2015-05-24T08:00:00Z,0.002,,38.21,22.68,80.173,1.223
2015-05-24T09:00:00Z,0.002,,39.447,22.689,84.106,1.223
2015-05-24T10:00:00Z,0.652,,40.505,22.699,88.289,1.223
2015-05-24T11:00:00Z,0.655,,41.404,22.721,92.999,1.223
2015-05-24T12:00:00Z,0.656,,41.755,22.73,96.37,1.223
2015-05-24T13:00:00Z,0.656,,42.117,22.74,99.398,1.223
2015-05-24T14:00:00Z,0.656,,42.465,22.76,102.139,1.223
2015-05-24T15:00:00Z,0.656,,42.777,22.77,103.96,1.223
2015-05-24T16:00:00Z,0.656,,43.097,22.779,105.209,1.223
2015-05-24T17:00:00Z,0.656,,43.425,23.02,105.874,1.224
2015-05-24T18:00:00Z,0.656,,43.892,23.27,105.98,1.224
2015-05-24T19:00:00Z,0.656,,44.54,23.51,105.98,1.224
2015-05-24T20:00:00Z,0.656,,45.392,23.811,105.98,1.224
2015-05-24T21:00:00Z,0.656,,45.864,24.061,105.98,1.224
