utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-21T16:00:00Z,,,0.375,0.5,0.754,
2015-05-21T17:00:00Z,,,0.563,0.349,0.465,
2015-05-21T18:00:00Z,,,0.527,0.59,0.056,
2015-05-21T19:00:00Z,,,0.58,0.684,0,
2015-05-21T20:00:00Z,,,0.51,0.508,0,
2015-05-21T21:00:00Z,,,0.442,0.839,0,
2015-05-21T22:00:00Z,,,0.313,0.27,0,
2015-05-21T23:00:00Z,,,0.32,0.02,0,
2015-05-22T00:00:00Z,,,0.3,0.009,0,
2015-05-22T01:00:00Z,,,0.31,0.012,0,
2015-05-22T02:00:00Z,,,0.31,0.02,0,
2015-05-22T03:00:00Z,,,0.34,0.347,0,
2015-05-22T04:00:00Z,,,0.405,1.644,0.068,
2015-05-22T05:00:00Z,,,0.575,2.079,0.439,
2015-05-22T06:00:00Z,,,0.347,0.34,2.737,
2015-05-22T07:00:00Z,,,2.235,0.009,2.827,
2015-05-22T08:00:00Z,,,1.898,0.59,6.326,
2015-05-22T09:00:00Z,,,1.785,0.28,3.607,
2015-05-22T10:00:00Z,,,0.963,0.009,3.344,
2015-05-22T11:00:00Z,,,0.43,0.022,5.828,
2015-05-22T12:00:00Z,,,0.49,0.34,1.685,
2015-05-22T13:00:00Z,,,0.35,0.009,3.51,0
2015-05-22T14:00:00Z,0,,0.4,0.01,4.165,0
2015-05-22T15:00:00Z,0,,0.332,0.02,2.712,0
2015-05-22T16:00:00Z,0,,0.395,0.381,1.05,0
2015-05-22T17:00:00Z,0,,0.443,0.682,0.416,0
2015-05-22T18:00:00Z,0,,0.6,0.293,0.165,0
2015-05-22T19:00:00Z,0,,0.717,0.971,0,0
2015-05-22T20:00:00Z,0,,0.58,0.351,0,0
2015-05-22T21:00:00Z,0,,0.443,0.722,0,0
2015-05-22T22:00:00Z,0,,0.33,0.42,0,0
2015-05-22T23:00:00Z,0,,0.33,0.01,0,0.001
2015-05-23T00:00:00Z,0,,0.332,0.01,0,0
2015-05-23T01:00:00Z,0,,0.317,0.019,0,0
2015-05-23T02:00:00Z,0,,0.323,0.012,0,0
2015-05-23T03:00:00Z,0,,0.335,0.07,0,0
2015-05-23T04:00:00Z,0.001,,0.393,1.248,0.217,0
2015-05-23T05:00:00Z,0,,0.38,0.821,0.743,0
2015-05-23T06:00:00Z,0,,0.399,0.021,1.522,0
2015-05-23T07:00:00Z,0,,0.361,0.43,1.997,0
2015-05-23T08:00:00Z,0,,0.397,0.009,2.678,0
2015-05-23T09:00:00Z,0,,2.405,0.01,3.922,0.593
2015-05-23T10:00:00Z,0,,1.118,0.01,4.165,0.213
2015-05-23T11:00:00Z,0,,0.725,0.02,2.873,0.327
2015-05-23T12:00:00Z,0,,1.074,0.009,4.072,0.082
2015-05-23T13:00:00Z,0,,1.693,0.012,3.361,0.003
2015-05-23T14:00:00Z,0,,0.428,0.238,2.8,0.003
