utc_timestamp,DE_KN_residential2_circulation_pump,DE_KN_residential2_dishwasher,DE_KN_residential2_freezer,DE_KN_residential2_grid_import,DE_KN_residential2_washing_machine
2015-04-01T08:00:00Z,0.045,,,,
2015-04-01T09:00:00Z,0.12,,,,
2015-04-01T10:00:00Z,0.209,,,,
2015-04-01T11:00:00Z,0.337,,,,
2015-04-01T12:00:00Z,0.374,,,,
2015-04-01T13:00:00Z,0.38,,,,
2015-04-01T14:00:00Z,0.537,,,,
2015-04-01T15:00:00Z,0.597,,,,
2015-04-01T16:00:00Z,0.697,,,,
2015-04-01T17:00:00Z,0.803,,,,
2015-04-01T18:00:00Z,0.838,,,,
2015-04-01T19:00:00Z,0.841,,,,
2015-04-01T20:00:00Z,0.845,,,,
2015-04-01T21:00:00Z,0.849,,,,
2015-04-01T22:00:00Z,0.853,,,,
2015-04-01T23:00:00Z,0.856,,,,
2015-04-02T00:00:00Z,0.86,,,,
2015-04-02T01:00:00Z,0.864,,,,
2015-04-02T02:00:00Z,0.867,,,,
2015-04-02T03:00:00Z,1.068,,,,
2015-04-02T04:00:00Z,1.201,,,,
2015-04-02T05:00:00Z,1.29,,,,
2015-04-02T06:00:00Z,1.375,,,,
2015-04-02T07:00:00Z,1.432,,,,
2015-04-02T08:00:00Z,1.435,,,,
2015-04-02T09:00:00Z,1.439,,,,
2015-04-02T10:00:00Z,1.443,,,,
2015-04-02T11:00:00Z,1.446,,,,
2015-04-02T12:00:00Z,1.45,,,,
2015-04-02T13:00:00Z,1.536,,,,
2015-04-02T14:00:00Z,1.758,,,,
2015-04-02T15:00:00Z,1.837,,,,
2015-04-02T16:00:00Z,1.938,,,,
2015-04-02T17:00:00Z,2.067,,,,
2015-04-02T18:00:00Z,2.128,,,,
2015-04-02T19:00:00Z,2.132,,,,
2015-04-02T20:00:00Z,2.157,,,,
2015-04-02T21:00:00Z,2.202,,,,
2015-04-02T22:00:00Z,2.249,,,,
2015-04-02T23:00:00Z,2.291,,,,
2015-04-03T00:00:00Z,2.327,,,,
2015-04-03T01:00:00Z,2.364,,,,
2015-04-03T02:00:00Z,2.47,,,,
2015-04-03T03:00:00Z,2.649,,,,
2015-04-03T04:00:00Z,2.752,,,,
2015-04-03T05:00:00Z,2.852,,,,
2015-04-03T06:00:00Z,2.939,,,,
2015-04-03T07:00:00Z,3.026,,,,
2015-04-03T08:00:00Z,3.165,,,,
2015-04-03T09:00:00Z,3.268,,,,
2015-04-03T10:00:00Z,3.368,,,,
2015-04-03T11:00:00Z,3.454,,,,
2015-04-03T12:00:00Z,3.562,,,,
2015-04-03T13:00:00Z,3.661,,,,
2015-04-03T14:00:00Z,3.719,,,,
2015-04-03T15:00:00Z,3.844,,,,
2015-04-03T16:00:00Z,3.954,,,,
2015-04-03T17:00:00Z,4.049,,,,
2015-04-03T18:00:00Z,4.135,,,,
2015-04-03T19:00:00Z,4.14,,,,
2015-04-03T20:00:00Z,4.144,,,,
2015-04-03T21:00:00Z,4.147,,,,
2015-04-03T22:00:00Z,4.151,,,,
2015-04-03T23:00:00Z,4.155,,,,
2015-04-04T00:00:00Z,4.159,,,,
2015-04-04T01:00:00Z,4.162,,,,
2015-04-04T02:00:00Z,4.166,,,,
2015-04-04T03:00:00Z,4.17,,,,
2015-04-04T04:00:00Z,4.357,,,,
2015-04-04T05:00:00Z,4.568,,,,
2015-04-04T06:00:00Z,4.645,,,,
2015-04-04T07:00:00Z,4.747,,,,
2015-04-04T08:00:00Z,4.847,,,,
2015-04-04T09:00:00Z,4.959,,,,
2015-04-04T10:00:00Z,5.041,,,,
2015-04-04T11:00:00Z,5.152,,,,
2015-04-04T12:00:00Z,5.254,,,,
2015-04-04T13:00:00Z,5.358,,,,
2015-04-04T14:00:00Z,5.47,,,,
2015-04-04T15:00:00Z,5.54,,,,
2015-04-04T16:00:00Z,5.665,,,,
2015-04-04T17:00:00Z,5.786,,,,
2015-04-04T18:00:00Z,5.911,,,,
2015-04-04T19:00:00Z,5.985,,,,
2015-04-04T20:00:00Z,6.053,,,,
2015-04-04T21:00:00Z,6.124,,,,
2015-04-04T22:00:00Z,6.189,,,,
2015-04-04T23:00:00Z,6.255,,,,
2015-04-05T00:00:00Z,6.322,,,,
2015-04-05T01:00:00Z,6.388,,,,
2015-04-05T02:00:00Z,6.454,,,,
2015-04-05T03:00:00Z,6.519,,,,
2015-04-05T04:00:00Z,6.715,,,,
2015-04-05T05:00:00Z,6.921,,,,
2015-04-05T06:00:00Z,7.001,,,,
2015-04-05T07:00:00Z,7.109,,,,
2015-04-05T08:00:00Z,7.209,,,,
2015-04-05T09:00:00Z,7.319,,,,
2015-04-05T10:00:00Z,7.407,,,,
2015-04-05T11:00:00Z,7.523,,,,
2015-04-05T12:00:00Z,7.619,,,,
2015-04-05T13:00:00Z,7.715,,,,
2015-04-05T14:00:00Z,7.826,,,,
2015-04-05T15:00:00Z,7.924,,,,
2015-04-05T16:00:00Z,8.03,,,,
2015-04-05T17:00:00Z,8.157,,,,
2015-04-05T18:00:00Z,8.26,,,,
2015-04-05T19:00:00Z,8.32,,,,
2015-04-05T20:00:00Z,8.388,,,,
2015-04-05T21:00:00Z,8.457,,,,
2015-04-05T22:00:00Z,8.54,,,,
2015-04-05T23:00:00Z,8.638,,,,
2015-04-06T00:00:00Z,8.707,,,,
2015-04-06T01:00:00Z,8.773,,,,
2015-04-06T02:00:00Z,8.835,,,,
2015-04-06T03:00:00Z,8.99,,,,
2015-04-06T04:00:00Z,9.086,,,,
2015-04-06T05:00:00Z,9.175,,,,
2015-04-06T06:00:00Z,9.239,,,,
2015-04-06T07:00:00Z,9.317,,,,
2015-04-06T08:00:00Z,9.45,,,,
2015-04-06T09:00:00Z,9.566,,,,
2015-04-06T10:00:00Z,9.649,,,,
2015-04-06T11:00:00Z,9.732,,,,
2015-04-06T12:00:00Z,9.801,,,,
2015-04-06T13:00:00Z,9.808,,,,
2015-04-06T14:00:00Z,9.897,,,,
2015-04-06T15:00:00Z,10.009,,,,
2015-04-06T16:00:00Z,10.095,,,,
2015-04-06T17:00:00Z,10.177,,,,
2015-04-06T18:00:00Z,10.231,,,,
2015-04-06T19:00:00Z,10.25,,,,
2015-04-06T20:00:00Z,10.291,,,,
2015-04-06T21:00:00Z,10.331,,,,
2015-04-06T22:00:00Z,10.369,,,,
2015-04-06T23:00:00Z,10.407,,,,
2015-04-07T00:00:00Z,10.445,,,,
2015-04-07T01:00:00Z,10.485,,,,
2015-04-07T02:00:00Z,10.609,,,,
2015-04-07T03:00:00Z,10.788,,,,
2015-04-07T04:00:00Z,10.907,,,,
2015-04-07T05:00:00Z,10.995,,,,
2015-04-07T06:00:00Z,11.078,,,,
2015-04-07T07:00:00Z,11.141,,,,
2015-04-07T08:00:00Z,11.213,,,,
2015-04-07T09:00:00Z,11.268,,,,
2015-04-07T10:00:00Z,11.323,,,,
2015-04-07T11:00:00Z,11.387,,,,
2015-04-07T12:00:00Z,11.402,,,,
2015-04-07T13:00:00Z,11.474,,,,
2015-04-07T14:00:00Z,11.616,,,,
2015-04-07T15:00:00Z,11.681,,,,
2015-04-07T16:00:00Z,11.747,,,,
2015-04-07T17:00:00Z,11.85,,,,
2015-04-07T18:00:00Z,11.935,,,,
2015-04-07T19:00:00Z,11.939,,,,
2015-04-07T20:00:00Z,11.973,,,,
2015-04-07T21:00:00Z,12.038,,,,
2015-04-07T22:00:00Z,12.105,,,,
2015-04-07T23:00:00Z,12.172,,,,
2015-04-08T00:00:00Z,12.239,,,,
2015-04-08T01:00:00Z,12.335,,,,
2015-04-08T02:00:00Z,12.452,,,,
2015-04-08T03:00:00Z,12.651,,,,
2015-04-08T04:00:00Z,12.767,,,,
2015-04-08T05:00:00Z,12.889,,,,
2015-04-08T06:00:00Z,12.954,,,,
2015-04-08T07:00:00Z,13.038,,,,
2015-04-08T08:00:00Z,13.104,,,,
2015-04-08T09:00:00Z,13.176,,,,
2015-04-08T10:00:00Z,13.238,,,,
2015-04-08T11:00:00Z,13.247,,,,
2015-04-08T12:00:00Z,13.25,,,,
2015-04-08T13:00:00Z,13.329,,,,
2015-04-08T14:00:00Z,13.517,,,,
2015-04-08T15:00:00Z,13.591,,,,
2015-04-08T16:00:00Z,13.65,,,,
2015-04-08T17:00:00Z,13.75,,,,
2015-04-08T18:00:00Z,13.831,,,,
2015-04-08T19:00:00Z,13.835,,,,
2015-04-08T20:00:00Z,13.839,,,,
2015-04-08T21:00:00Z,13.843,,,,
2015-04-08T22:00:00Z,13.847,,,,
2015-04-08T23:00:00Z,13.85,,,,
2015-04-09T00:00:00Z,13.854,,,,
2015-04-09T01:00:00Z,13.858,,,,
2015-04-09T02:00:00Z,13.861,,,,
2015-04-09T03:00:00Z,14.051,,,,
2015-04-09T04:00:00Z,14.175,,,,
2015-04-09T05:00:00Z,14.248,,,,
2015-04-09T06:00:00Z,14.324,,,,
2015-04-09T07:00:00Z,14.387,,,,
2015-04-09T08:00:00Z,14.402,,,,
2015-04-09T09:00:00Z,14.406,,,,
2015-04-09T10:00:00Z,14.41,,,,
2015-04-09T11:00:00Z,14.414,,,,
2015-04-09T12:00:00Z,14.417,,,,
2015-04-09T13:00:00Z,14.493,,,,
2015-04-09T14:00:00Z,14.627,,,,
2015-04-09T15:00:00Z,14.701,,,,
2015-04-09T16:00:00Z,14.761,,,,
2015-04-09T17:00:00Z,14.854,,,,
2015-04-09T18:00:00Z,14.892,,,,
2015-04-09T19:00:00Z,14.896,,,,
2015-04-09T20:00:00Z,14.9,,,,
2015-04-09T21:00:00Z,14.903,,,,
