utc_timestamp,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine
2015-10-26T11:00:00Z,0.0,0.045,0.0,0.0
2015-10-26T12:00:00Z,0.0,0.395,0.071,0.148
2015-10-26T13:00:00Z,0.0,0.865,0.082,0.488
2015-10-26T14:00:00Z,0.0,1.085,0.126,0.575
2015-10-26T15:00:00Z,0.0,1.325,0.184,0.67
2015-10-26T16:00:00Z,0.001,1.435,0.21,0.674
2015-10-26T17:00:00Z,0.001,1.645,0.253,0.674
2015-10-26T18:00:00Z,0.001,1.885,0.273,0.674
2015-10-26T19:00:00Z,0.351,2.55,0.34,0.674
2015-10-26T20:00:00Z,0.392,2.86,0.388,0.674
2015-10-26T21:00:00Z,0.902,3.615,0.433,0.674
2015-10-26T22:00:00Z,0.904,3.875,0.466,0.674
2015-10-26T23:00:00Z,0.904,4.09,0.504,0.674
2015-10-27T00:00:00Z,0.904,4.3,0.546,0.674
2015-10-27T01:00:00Z,0.904,4.485,0.575,0.674
2015-10-27T02:00:00Z,0.904,4.705,0.634,0.674
2015-10-27T03:00:00Z,0.904,4.875,0.641,0.674
2015-10-27T04:00:00Z,0.904,5.105,0.703,0.674
2015-10-27T05:00:00Z,0.904,5.4,0.714,0.674
2015-10-27T06:00:00Z,0.904,6.28,0.772,1.167
2015-10-27T07:00:00Z,0.905,6.64,0.793,1.25
2015-10-27T08:00:00Z,0.905,7.41,0.833,1.777
2015-10-27T09:00:00Z,0.905,7.685,0.869,1.849
2015-10-27T10:00:00Z,0.905,7.925,0.904,1.889
2015-10-27T11:00:00Z,0.905,8.115,0.929,1.889
2015-10-27T12:00:00Z,0.905,8.35,0.993,1.889
2015-10-27T13:00:00Z,0.905,8.885,1.015,2.229
2015-10-27T14:00:00Z,0.905,9.215,1.082,2.299
2015-10-27T15:00:00Z,0.905,9.445,1.09,2.305
2015-10-27T16:00:00Z,0.906,9.73,1.145,2.305
2015-10-27T17:00:00Z,0.906,10.035,1.175,2.305
2015-10-27T18:00:00Z,0.906,10.36,1.211,2.305
2015-10-27T19:00:00Z,0.906,10.74,1.247,2.305
2015-10-27T20:00:00Z,0.906,11.09,1.278,2.305
2015-10-27T21:00:00Z,0.965,11.485,1.326,2.305
2015-10-27T22:00:00Z,1.347,12.01,1.357,2.305
2015-10-27T23:00:00Z,1.447,12.22,1.402,2.305
2015-10-28T00:00:00Z,1.87,12.75,1.43,2.305
2015-10-28T01:00:00Z,1.87,12.87,1.489,2.305
2015-10-28T02:00:00Z,1.87,12.94,1.492,2.305
2015-10-28T03:00:00Z,1.87,13.065,1.559,2.305
2015-10-28T04:00:00Z,1.87,13.13,1.562,2.305
2015-10-28T05:00:00Z,1.871,13.335,1.603,2.305
2015-10-28T06:00:00Z,1.871,13.635,1.659,2.305
2015-10-28T07:00:00Z,1.871,13.795,1.665,2.305
2015-10-28T08:00:00Z,1.871,13.93,1.735,2.305
2015-10-28T09:00:00Z,1.871,13.99,1.737,2.305
2015-10-28T10:00:00Z,1.871,14.12,1.798,2.305
2015-10-28T11:00:00Z,1.871,14.69,1.818,2.305
2015-10-28T12:00:00Z,1.871,15.19,1.886,2.305
2015-10-28T13:00:00Z,1.871,15.745,1.922,2.755
2015-10-28T14:00:00Z,1.872,15.985,1.971,2.849
2015-10-28T15:00:00Z,1.872,16.295,2.009,2.929
2015-10-28T16:00:00Z,1.872,16.47,2.055,2.987
2015-10-28T17:00:00Z,1.872,16.67,2.094,2.987
2015-10-28T18:00:00Z,1.872,17.075,2.12,2.987
2015-10-28T19:00:00Z,1.876,17.82,2.181,3.421
2015-10-28T20:00:00Z,2.277,18.59,2.191,3.487
2015-10-28T21:00:00Z,2.315,19.02,2.245,3.528
2015-10-28T22:00:00Z,2.789,19.775,2.273,3.528
2015-10-28T23:00:00Z,2.79,19.985,2.306,3.528
2015-10-29T00:00:00Z,2.79,20.195,2.345,3.528
2015-10-29T01:00:00Z,2.79,20.415,2.402,3.528
2015-10-29T02:00:00Z,2.79,20.595,2.411,3.528
2015-10-29T03:00:00Z,2.79,20.725,2.447,3.528
2015-10-29T04:00:00Z,2.79,20.835,2.487,3.528
2015-10-29T05:00:00Z,2.79,21.46,2.528,3.969
2015-10-29T06:00:00Z,2.791,21.85,2.577,4.04
2015-10-29T07:00:00Z,2.791,22.05,2.604,4.103
2015-10-29T08:00:00Z,2.791,22.19,2.64,4.104
2015-10-29T09:00:00Z,2.791,22.305,2.653,4.104
2015-10-29T10:00:00Z,2.791,22.47,2.712,4.104
2015-10-29T11:00:00Z,2.791,22.595,2.739,4.104
